N,n,r,h,h_floor,eps_h,eps_bucket,z_h,rho30,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
4,2,1,1.3740403259480107,1,0,0,-0.31909403619476767,4,1.0,,spine_none,eps=0;rho30=4,4i,-0.6787767139371331,0.5624014915563543,-0.4048142586609316
6,3,1,2.4675856173456734,2,-1,-1,-0.9342590894379015,6,2.0,3,cone_3,eps=-1;rho30=6,-1+6i,1.1432079379079239,0.9468484668322616,-1.5032529702238573
8,4,1,1.2213691786204544,1,0,0,-0.20030586949935641,8,1.0,,spine_none,eps=0;rho30=8,8i,0.0978833860897928,0.8111146875720575,-0.29691415299695584
10,5,2,1.6601898718552883,1,1,1,0.26372872730138003,10,1.3333333333333333,5,ring_5,eps=1;rho30=10,1+10i,-0.6720880501330535,1.1850368164111456,0.6083875978674415
12,6,1,2.5659103941172656,2,-1,-1,-0.9775661700901488,12,2.0,3,cone_3,eps=-1;rho30=12,-1+12i,2.465808553968018,0.3660360300798656,-1.7656171184383254
14,7,2,1.592436168948247,1,1,1,0.32297181144557063,14,1.2,7,shell_other,eps=1;rho30=14,1+14i,0.04640401190259302,0.4308790866793121,0.7314874020269504
16,8,2,1.3740403259480107,1,1,1,0.5340065897498256,16,1.0,,spine_none,eps=1;rho30=16,1+16i,-0.007751539292902954,0.10949503271962302,1.0988479983841715
18,9,2,2.844759075082922,2,0,0,-0.500852816396344,18,2.0,3,cone_3,eps=0;rho30=18,18i,1.3887498668594533,-1.3094975288729818,-0.859431761170832
20,10,2,1.9616121227831425,1,1,1,0.02740864265104294,20,1.3333333333333333,5,ring_5,eps=1;rho30=20,1+20i,-0.23656782685732825,-1.1230006573392899,0.2478241344007845
22,11,3,1.688964932637115,1,2,2,1.0087974877005625,22,1.1111111111111112,11,shell_other,eps=2;rho30=22,2+22i,-1.5828961823664678,-0.562224873616393,2.1863106766685854
24,12,3,3.1373945665552387,3,0,0,-0.07756842767031487,24,2.0,3,cone_3,eps=0;rho30=24,24i,-0.5593491332672715,-1.7680406755921185,-0.1391672674228143
26,13,3,1.7639424545326903,1,2,2,0.9306716476902732,26,1.0909090909090908,13,shell_other,eps=2;rho30=26,2+26i,-2.3746490294138365,-0.3364396694246349,2.089582245663316
28,14,2,1.997682119926975,1,1,1,0.001639939288756342,28,1.2,7,shell_other,eps=1;rho30=28,1+28i,-1.956546238525086,-0.5335652951281679,0.20300932024507684
30,15,3,4.565377727091596,4,-1,-1,-0.7326234108114569,0,2.6666666666666665,"3,5",mobius_3x5,eps=-1;rho30=0,-1,-1.543843992332342,-0.4395740464868741,-1.5576259438143996
32,16,2,1.758771617213454,1,1,1,0.18189622294870966,2,1.0,,spine_none,eps=1;rho30=2,1+2i,-1.7948054691980804,0.5934123906444202,0.5401268499916712
34,17,4,1.9253275224668602,1,3,3,1.4951929344611854,4,1.0666666666666667,17,shell_other,eps=3;rho30=4,3+4i,-2.90658303023797,1.8395815502319168,3.419280568065139
36,18,4,3.7013784260185103,3,1,1,0.15521705373310582,6,2.0,3,cone_3,eps=1;rho30=6,1+6i,-1.2763507332514545,1.9695448468459262,0.49494989331410333
38,19,2,2.0073865207606403,2,0,0,-0.005213440495262135,8,1.0588235294117647,19,shell_other,eps=0;rho30=8,8i,0.13587152301063862,1.2896031245763508,-0.009978750702623029
40,20,3,2.5873799106010416,2,1,1,0.25651943100452995,10,1.3333333333333333,5,ring_5,eps=1;rho30=10,1+10i,0.14155014819734546,1.4945288221097575,0.6943291216236669
42,21,4,4.7633129123299245,4,0,0,-0.34974221237852676,12,2.4,"3,7",shell_other,eps=0;rho30=12,12i,1.8505268245363886,1.134641109813285,-0.6782835325575721
44,22,3,2.2537969378580156,2,1,1,0.4970494924273972,14,1.1111111111111112,11,shell_other,eps=1;rho30=14,1+14i,0.7665969074534726,0.58935132770753,1.169776868574002
46,23,4,2.170312326902134,2,2,2,1.2419835498389473,16,1.0476190476190477,23,shell_other,eps=2;rho30=16,2+16i,0.15129400430870477,0.4623135545767243,2.8369944112830074
48,24,5,4.22892700481598,4,1,1,0.3749560789114605,18,2.0,3,cone_3,eps=1;rho30=18,1+18i,1.1284935192694712,-1.0143944111024379,0.9397019921505212
50,25,4,2.8757845201992804,2,2,2,0.6629356742818617,20,1.3333333333333333,5,ring_5,eps=2;rho30=20,2+20i,-0.310512404608272,-1.0240071284955121,1.7145239857854482
52,26,3,2.398693004243832,2,1,1,0.38824772742783176,22,1.0909090909090908,13,shell_other,eps=1;rho30=22,1+22i,-0.40324013433006123,-1.2080975926730289,0.9736065566190979
54,27,5,4.480738074014569,4,1,1,0.24530799401111672,24,2.0,3,cone_3,eps=1;rho30=24,1+24i,-1.2144314731129096,-1.9151722318996618,0.6910655043321973
56,28,3,2.7378648964741608,2,1,1,0.15842334400292507,26,1.2,7,shell_other,eps=1;rho30=26,1+26i,-1.5906867265230151,-1.0779352192539247,0.5185472061137979
58,29,4,2.408384495985236,2,2,2,1.0255934761104004,28,1.037037037037037,29,shell_other,eps=2;rho30=28,2+28i,-2.369934914946521,0.02788420301530614,2.4709720064130125
60,30,6,6.300885782362677,6,0,0,-0.11986733867373724,0,2.6666666666666665,"3,5",mobius_3x5,eps=0;rho30=0,0,-2.633737921003833,-0.07192040320424234,-0.24303450585572614
62,31,3,2.4858111205354247,2,1,1,0.3261283975231844,2,1.0344827586206897,31,shell_other,eps=1;rho30=2,1+2i,-1.8512965448454102,0.7937509669784203,0.8638242973678893
64,32,5,2.4427383572409087,2,3,3,1.6362011311064097,4,1.0,,spine_none,eps=3;rho30=4,3+4i,-2.4705712465111187,2.0596492515724636,3.942974449132095
66,33,6,5.516013898630787,5,1,1,0.20607258277810298,6,2.2222222222222223,"3,11",shell_other,eps=1;rho30=6,1+6i,-1.240965221742973,2.4275951614184526,0.6225589848952429
68,34,2,2.6894561553011433,2,0,0,-0.4204113370275332,8,1.0666666666666667,17,shell_other,eps=0;rho30=8,8i,0.1612250104889487,1.2817067067111991,-0.8650780805409345
70,35,5,4.096360324484109,4,1,1,0.44647404335662316,10,1.5999999999999999,"5,7",shell_other,eps=1;rho30=10,1+10i,0.530681346170912,2.015130151421867,1.1218018487329153
72,36,6,5.197592186439306,5,1,1,0.351960599360202,12,2.0,3,cone_3,eps=1;rho30=12,1+12i,1.409699339299881,1.5778783135672159,0.9290309213444312
74,37,5,2.7124323498889487,2,3,3,1.3889751906895231,14,1.0285714285714285,37,shell_other,eps=3;rho30=14,3+14i,0.11493298531123841,1.1543252553176828,3.4860912883917288
76,38,5,2.8324658999240024,2,3,3,1.2879043010588385,16,1.0588235294117647,19,shell_other,eps=3;rho30=16,3+16i,0.1749034019157356,0.4429827973925162,3.284224123386255
78,39,7,5.9189747729477284,5,2,2,0.44433710831798484,18,2.1818181818181817,"3,13",shell_other,eps=2;rho30=18,2+18i,1.111845287503075,-1.1993185559744015,1.3288078230531215
80,40,4,3.667153580254382,3,1,1,0.17381183337306555,20,1.3333333333333333,5,ring_5,eps=1;rho30=20,1+20i,0.48622411513030855,-1.512474440488556,0.5643607291420558
82,41,5,2.8590968872600597,2,3,3,1.2661424721958687,22,1.0256410256410255,41,shell_other,eps=3;rho30=22,3+22i,-1.1591091110315934,-0.8203574278628286,3.261562968948465
84,42,8,6.779120309310647,6,2,2,0.46890644128319603,24,2.4,"3,7",shell_other,eps=2;rho30=24,2+24i,-1.7007496355676073,-2.2666028562875997,1.3883421337716069
86,43,5,2.931204614391407,2,3,3,1.2083547984324383,26,1.024390243902439,43,shell_other,eps=3;rho30=26,3+26i,-2.371504006558208,-0.4716840204499335,3.153579380452559
88,44,4,3.2199641128852936,3,1,1,0.434699427299714,28,1.1111111111111112,11,shell_other,eps=1;rho30=28,1+28i,-1.9874600737403176,-0.43420843005508625,1.1209716890499382
90,45,9,7.824801933209948,7,2,2,0.4201210011768432,0,2.6666666666666665,"3,5",mobius_3x5,eps=2;rho30=0,2,-3.728158865666898,0.25207260070610593,1.2922859245857214
92,46,4,3.1118675901994046,3,1,1,0.5034625416058501,2,1.0476190476190477,23,shell_other,eps=1;rho30=2,1+2i,-1.940092643393998,0.98018922508156,1.271866843330993
94,47,5,3.0731357181466548,3,2,2,1.099158331509445,4,1.0222222222222221,47,shell_other,eps=2;rho30=4,2+4i,-1.9303126099843544,1.8869168657623026,2.745583506190457
96,48,7,6.084068501674204,6,1,1,0.3713350525166955,6,2.0,3,cone_3,eps=1;rho30=6,1+6i,-1.1794241378912242,2.596236241404381,0.9942327250388059
98,49,3,3.6930501354294987,3,0,0,-0.36063846924139525,8,1.2,7,shell_other,eps=0;rho30=8,8i,0.19346523044961608,1.6243156301729735,-0.7730729412408883
100,50,6,4.15047467963822,4,2,2,0.9078443538038906,10,1.3333333333333333,5,ring_5,eps=2;rho30=10,2+10i,0.19314400337236803,2.264882485355633,2.3503067332271113
102,51,8,6.715694373904382,6,2,2,0.4955904435444276,12,2.1333333333333333,"3,17",shell_other,eps=2;rho30=12,2+12i,1.3328912795974324,1.8412639051397315,1.466927957488196
104,52,5,3.472280251623942,3,2,2,0.8198535990452865,14,1.0909090909090908,13,shell_other,eps=2;rho30=14,2+14i,0.9508773605951955,0.8607704672570957,2.168673410962094
106,53,6,3.280777783926744,3,3,3,1.5012613093576335,16,1.0196078431372548,53,shell_other,eps=3;rho30=16,3+16i,0.5067604715564671,0.545297702228624,3.84523557846812
108,54,8,6.504545992012321,6,2,2,0.5863603111556281,18,2.0,3,cone_3,eps=2;rho30=18,2+18i,1.3086247328383227,-1.1582480337421261,1.6700282637520463
110,55,6,4.869168763693975,4,2,2,0.512472284181245,20,1.4814814814814814,"5,11",shell_other,eps=2;rho30=20,2+20i,0.3231381688203837,-1.5733648739045576,1.5121392690929176
112,56,7,3.9851250943752925,3,4,4,1.5102481681880373,22,1.2,7,shell_other,eps=4;rho30=22,4+22i,-1.3108376882641477,-1.0064305804433016,4.083665677584505
114,57,10,7.104754065607246,7,3,3,1.0862028446415077,24,2.1176470588235294,"3,19",shell_other,eps=3;rho30=24,3+24i,-1.954315398375173,-1.9040249410941805,2.9660610057791574
116,58,6,3.5144646606193355,3,3,3,1.3258376634725775,26,1.037037037037037,29,shell_other,eps=3;rho30=26,3+26i,-2.302142378826723,-0.5238721396108218,3.4932967474082828
118,59,6,3.482764674949436,3,3,3,1.3488440864833435,28,1.0175438596491229,59,shell_other,eps=3;rho30=28,3+28i,-2.715715446729213,0.09203150609700905,3.5487359100905684
120,60,12,9.216887855374091,9,3,3,0.9167239015783162,0,2.6666666666666665,"3,5",mobius_3x5,eps=3;rho30=0,3,-4.174384202092145,0.5500343409469897,2.607560575318604
122,61,4,3.548948260019124,3,1,1,0.23942887701793875,2,1.0169491525423728,61,shell_other,eps=1;rho30=2,1+2i,-1.9888052591543395,0.8678940323430001,0.7252277419907711
124,62,5,3.6446055172368927,3,2,2,0.709970738065514,4,1.0344827586206897,31,shell_other,eps=2;rho30=4,2+4i,-1.9284683634336983,1.7698759570784928,1.9600488240026395
126,63,10,8.535107035004438,8,2,2,0.5014197170300595,6,2.4,"3,7",shell_other,eps=2;rho30=6,2+6i,-1.6227139586276755,3.1015971346072337,1.5036004306108075
128,64,3,3.5893298310478654,3,0,0,-0.311065424268187,8,1.0,,spine_none,eps=0;rho30=8,8i,0.1868735814134394,1.5913441058723887,-0.6857431742705722
130,65,7,5.268694082348491,5,2,2,0.7542621628033549,10,1.4545454545454544,"5,13",shell_other,eps=2;rho30=10,2+10i,0.4221667235679387,2.399058752666969,2.065399466892257
132,66,9,8.122198601028472,8,1,1,0.3080062054633705,12,2.2222222222222223,"3,11",shell_other,eps=1;rho30=12,1+12i,1.9635162183042585,1.8643314007589251,0.8811290432564842
134,67,6,3.7443516285217795,3,3,3,1.1656900412317563,14,1.0153846153846153,67,shell_other,eps=3;rho30=14,3+14i,0.7531109122668604,1.0798377735389144,3.1817533922428654
136,68,5,3.968126612017768,3,2,2,0.5180046421294233,16,1.0666666666666667,17,shell_other,eps=2;rho30=16,2+16i,1.166587730779977,-0.08297569002003169,1.5489876515641594
138,69,8,7.862361769275674,7,1,1,0.04908655684881987,18,2.0952380952380953,"3,23",shell_other,eps=1;rho30=18,1+18i,1.923209314029223,-1.6152310515243689,0.3090392860823804
140,70,7,6.055580557333643,6,1,1,0.38378414256288484,20,1.5999999999999999,"5,7",shell_other,eps=1;rho30=20,1+20i,0.8722097708933075,-1.8659811962766053,1.053758848229906
142,71,8,3.872178859390792,3,5,5,2.0976989758846267,22,1.0144927536231885,71,shell_other,eps=5;rho30=22,5+22i,-1.483855481256076,-0.5919933404515472,5.67313691973002
144,72,11,7.697731182351797,7,4,4,1.1902304404802668,24,2.0,3,cone_3,eps=4;rho30=24,4+24i,-2.1853407410584844,-1.9080709080189031,3.4552367876133205
146,73,6,3.9354091945524763,3,3,3,1.0407323178694914,26,1.0140845070422535,73,shell_other,eps=3;rho30=26,3+26i,-2.2483341610886063,-0.7696093174275552,2.9249206641803185
148,74,5,4.024305819705915,4,1,1,0.4863716205436569,28,1.0285714285714285,37,shell_other,eps=1;rho30=28,1+28i,-2.064302751760251,-0.4808735379507778,1.2879891056628128
150,75,12,10.517797519101169,10,2,2,0.4570304465243755,0,2.6666666666666665,"3,5",mobius_3x5,eps=2;rho30=0,2,-3.8909180076150225,0.2742182679146253,1.4237155380142266
152,76,4,4.209581942903863,4,0,0,-0.1021490608687756,2,1.0588235294117647,19,shell_other,eps=0;rho30=2,2i,-1.7800162639594685,0.731224864509221,-0.22910642845923998
154,77,8,5.342864127810231,5,3,3,1.1495469078440441,4,1.3333333333333333,"7,11",shell_other,eps=3;rho30=4,3+4i,-2.4649302312951438,2.35336202546362,3.1816031722315343
156,78,11,8.811210290224777,8,3,3,0.7373713426981819,6,2.1818181818181817,"3,13",shell_other,eps=3;rho30=6,3+6i,-1.8706057801834692,3.242612723009342,2.2580603901605496
158,79,5,4.122541041751904,4,1,1,0.43215975258803707,8,1.0129870129870129,79,shell_other,eps=1;rho30=8,1+8i,-0.11759263814369372,2.1681654134639747,1.172974279704296
160,80,8,5.467732747314907,5,3,3,1.0829437501979509,10,1.3333333333333333,5,ring_5,eps=3;rho30=10,3+10i,0.18244918213945738,2.608945175899198,3.041168612958643
162,81,10,8.263615840071902,8,2,2,0.6040331246877004,12,2.0,3,cone_3,eps=2;rho30=12,2+12i,1.6670448493107042,2.030259430260698,1.7632627785350992
164,82,5,4.269450966897412,4,1,1,0.35356018721302057,14,1.0256410256410255,41,shell_other,eps=1;rho30=14,1+14i,1.6001353386245467,0.6186468938127722,0.9989165934690274
166,83,6,4.245293365921021,4,2,2,0.8516294367962328,16,1.0123456790123457,83,shell_other,eps=2;rho30=16,2+16i,1.2836058579415575,0.10615810470816933,2.3266398674176396
168,84,13,10.138151764586134,10,3,3,0.8988085710286938,18,2.4,"3,7",shell_other,eps=3;rho30=18,3+18i,1.6208166514235902,-1.3109547605081873,2.635736673316661
170,85,9,6.051330051857724,6,3,3,1.1986730557235443,20,1.422222222222222,"5,17",shell_other,eps=3;rho30=20,3+20i,0.272247879383931,-1.3464501198838943,3.318019516530608
172,86,6,4.389878525765915,4,2,2,0.7684796841799085,22,1.024390243902439,43,shell_other,eps=2;rho30=22,2+22i,-0.4028676724651545,-1.5095902344033743,2.144515166502238
174,87,11,8.951247097564544,8,3,3,0.6847748617072118,24,2.074074074074074,"3,29",shell_other,eps=3;rho30=24,3+24i,-1.8190862840213624,-2.387883950064459,2.1562306823220228
176,88,7,4.829010647558484,4,3,3,0.9879355467263171,26,1.1111111111111112,11,shell_other,eps=3;rho30=26,3+26i,-2.304457977626722,-0.9620117238612941,2.8476673004118846
178,89,7,4.426651035138514,4,3,3,1.2230973925851942,28,1.0114942528735633,89,shell_other,eps=3;rho30=28,3+28i,-2.714496724223287,-0.07425776206268875,3.3857062271488894
180,90,14,11.750658645343353,11,3,3,0.6561819242898626,0,2.6666666666666665,"3,5",mobius_3x5,eps=3;rho30=0,3,-4.2668682657257495,0.39370915457391753,2.096108750070715
182,91,6,5.807856855336877,5,1,1,0.0797291147869268,2,1.3090909090909089,"7,13",shell_other,eps=1;rho30=2,1+2i,-2.415345083887247,0.9912082016405617,0.38197611382095825
184,92,8,4.679222368495828,4,4,4,1.5351575498110455,4,1.0476190476190477,23,shell_other,eps=4;rho30=4,4+4i,-2.5499140131069273,2.4430538908493036,4.307543015327283
186,93,13,9.302932974672522,9,4,4,1.212124914873216,6,2.0689655172413794,"3,31",shell_other,eps=4;rho30=6,4+6i,-2.0959913725454276,3.5674057968646364,3.5723256742647083
188,94,5,4.626802686695795,4,1,1,0.17349941668055102,8,1.0222222222222221,47,shell_other,eps=1;rho30=8,1+8i,-0.0793622485780596,2.1246436735761614,0.5972245184957223
190,95,8,6.431913703146873,6,2,2,0.618300866607467,10,1.4117647058823528,"5,19",shell_other,eps=2;rho30=10,2+10i,0.6432368077538518,2.490348732192636,1.8170119692546471
192,96,11,9.171150642776805,9,2,2,0.6039013778013222,12,2.0,3,cone_3,eps=2;rho30=12,2+12i,1.8146123087616632,2.1002033649597434,1.7853832182124707
194,97,7,4.663710814719183,4,3,3,1.0818344128295836,14,1.0105263157894737,97,shell_other,eps=3;rho30=14,3+14i,1.1307882353327967,1.0725851681194731,3.0842177445810535
196,98,9,5.573526591318864,5,4,4,1.4513839864005467,16,1.2,7,shell_other,eps=4;rho30=16,4+16i,1.0621093042877159,0.4021503052374529,4.136038131877618
198,99,13,10.38666976786218,10,3,3,0.8108791443975283,18,2.2222222222222223,"3,11",shell_other,eps=3;rho30=18,3+18i,1.6907274419565934,-1.361455452942899,2.4656045092959062
200,100,8,6.271092339081022,6,2,2,0.6903990750792832,20,1.3333333333333333,5,ring_5,eps=2;rho30=20,2+20i,0.6363878117657435,-1.6678124753615455,1.9899135091434728
